run_id,model,experiment,augmentation,best_test_acc,model_path
mobilenet_v2__E3_real__A1_geom,mobilenet_v2,E3_real,A1_geom,0.95,/content/drive/MyDrive/dataset_cv/results_runs/mobilenet_v2__E3_real__A1_geom/best_model.pth
mobilenet_v2__E1_all__A3_mix,mobilenet_v2,E1_all,A3_mix,0.95,/content/drive/MyDrive/dataset_cv/results_runs/mobilenet_v2__E1_all__A3_mix/best_model.pth
mobilenet_v2__E1_all__A2_color,mobilenet_v2,E1_all,A2_color,0.95,/content/drive/MyDrive/dataset_cv/results_runs/mobilenet_v2__E1_all__A2_color/best_model.pth
mobilenet_v2__E1_all__A1_geom,mobilenet_v2,E1_all,A1_geom,0.95,/content/drive/MyDrive/dataset_cv/results_runs/mobilenet_v2__E1_all__A1_geom/best_model.pth
resnet18__E1_all__A1_geom,resnet18,E1_all,A1_geom,0.9,/content/drive/MyDrive/dataset_cv/results_runs/resnet18__E1_all__A1_geom/best_model.pth
resnet18__E1_all__A2_color,resnet18,E1_all,A2_color,0.9,/content/drive/MyDrive/dataset_cv/results_runs/resnet18__E1_all__A2_color/best_model.pth
resnet18__E3_real__A2_color,resnet18,E3_real,A2_color,0.9,/content/drive/MyDrive/dataset_cv/results_runs/resnet18__E3_real__A2_color/best_model.pth
resnet18__E3_real__A1_geom,resnet18,E3_real,A1_geom,0.9,/content/drive/MyDrive/dataset_cv/results_runs/resnet18__E3_real__A1_geom/best_model.pth
resnet18__E3_real__A3_mix,resnet18,E3_real,A3_mix,0.9,/content/drive/MyDrive/dataset_cv/results_runs/resnet18__E3_real__A3_mix/best_model.pth
mobilenet_v2__E1_all__A0_none,mobilenet_v2,E1_all,A0_none,0.9,/content/drive/MyDrive/dataset_cv/results_runs/mobilenet_v2__E1_all__A0_none/best_model.pth
mobilenet_v2__E3_real__A3_mix,mobilenet_v2,E3_real,A3_mix,0.9,/content/drive/MyDrive/dataset_cv/results_runs/mobilenet_v2__E3_real__A3_mix/best_model.pth
mobilenet_v2__E3_real__A0_none,mobilenet_v2,E3_real,A0_none,0.9,/content/drive/MyDrive/dataset_cv/results_runs/mobilenet_v2__E3_real__A0_none/best_model.pth
mobilenet_v2__E3_real__A2_color,mobilenet_v2,E3_real,A2_color,0.85,/content/drive/MyDrive/dataset_cv/results_runs/mobilenet_v2__E3_real__A2_color/best_model.pth
resnet18__E1_all__A3_mix,resnet18,E1_all,A3_mix,0.85,/content/drive/MyDrive/dataset_cv/results_runs/resnet18__E1_all__A3_mix/best_model.pth
mobilenet_v2__E4_balanced_no_mix__A1_geom,mobilenet_v2,E4_balanced_no_mix,A1_geom,0.85,/content/drive/MyDrive/dataset_cv/results_runs/mobilenet_v2__E4_balanced_no_mix__A1_geom/best_model.pth
resnet18__E3_real__A0_none,resnet18,E3_real,A0_none,0.8,/content/drive/MyDrive/dataset_cv/results_runs/resnet18__E3_real__A0_none/best_model.pth
resnet18__E4_balanced_no_mix__A3_mix,resnet18,E4_balanced_no_mix,A3_mix,0.8,/content/drive/MyDrive/dataset_cv/results_runs/resnet18__E4_balanced_no_mix__A3_mix/best_model.pth
mobilenet_v2__E4_balanced_no_mix__A0_none,mobilenet_v2,E4_balanced_no_mix,A0_none,0.8,/content/drive/MyDrive/dataset_cv/results_runs/mobilenet_v2__E4_balanced_no_mix__A0_none/best_model.pth
